pid,role,iso2,name,af_ids
239,player,fr,Marcus Thuram,21509
240,player,au,Alessandro Circati,348568
241,player,ar,Giuliano Simeone,323935
242,coach,br,Carlo Ancelotti,2407
243,coach,tr,Vincenzo Montella,2549
244,coach,uz,Fabio Cannavaro,53
245,player,hr,Mateo Kovačić,2291
246,player,tr,Mert Müldür,1719
247,player,ba,Amar Dedić,7318
248,player,hr,Luka Sučić,7332
249,player,ba,Ermin Mahmić,340173
250,player,pt,Diogo Costa,369
251,player,cd,Charles Pickel,48555
252,player,ba,Haris Tabaković,28382
253,player,cd,Timothy Fayulu,48501
254,player,ht,Keeto Thermoncy,573613
255,player,hr,Ante Budimir,46746
256,player,hr,Josip Šutalo,14701
257,player,hr,Petar Sučić,348205
258,coach,dz,Vladimir Petković,28220
259,coach,hr,Zlatko Dalić,115
260,player,tn,Anis Ben Slimane,199310
261,player,ba,Amir Hadžiahmetović,50006
262,player,iq,Frans Putros,15769
263,coach,pa,Thomas Christiansen,1552
264,player,qa,Pedro Miguel,2530
265,player,cv,Hélio Varela,291024
266,player,cv,Telmo Arcanjo,265556
267,player,cv,Wagner Pina,332056
268,player,ma,Yassine Bounou,2701
269,player,ht,Garven Metusala,318930
270,player,ht,Josué Duverger,123742
271,player,tn,Rayan Elloumi,566059
272,player,qa,Lucas Mendes,42288
273,player,pt,Matheus Nunes,41621
274,player,py,Maurício,106485
275,player,gb-sct,Lyndon Dykes,45307
276,player,nz,Lachlan Bayliss,405957
277,coach,iq,Graham Arnold,356
278,player,au,Harry Souttar,20079
279,player,au,Cameron Burgess,20457
280,player,nz,Callan Elliot,6932
281,player,ba,Tarik Muharemović,271350
282,player,ba,Arjan Malić,409670
283,player,au,Miloš Degenek,2742
284,player,ba,Ivan Bašić,162222
285,player,ca,Ismaël Koné,328046
286,player,gb-eng,Marc Guéhi,67971
287,player,qa,Mohammed Muntari,42089
288,player,ca,Alphonso Davies,509
289,player,be,Amadou Onana,162714
290,player,qa,Issa Laye,366516
291,player,qa,Almoez Ali,2543
292,player,qa,Assim Madibo,2535
293,player,ch,Breel Embolo,421
294,player,ch,Yvon Mvogo,1142
295,player,tn,Sebastian Tounekti,57518
296,player,iq,Marko Farji,265448
297,player,mx,Julián Quiñones,35532
298,player,ba,Samed Baždar,314377
299,player,ca,Tani Oluwaseyi,351587
300,player,qa,Ahmed Alaaeldin,2542
301,player,qa,Yusuf Abdurisag,542541
302,player,qa,Boualem Khoukhi,2532
303,player,qa,Mohamed Manai,283174
304,player,gb-sct,Kieran Tierney,1117
305,player,au,Mohamed Touré,198352
306,player,au,Awer Mabil,2755
307,player,au,Nestory Irankunda,338014
308,player,py,Gastón Olveira,51733
309,player,us,Alejandro Zendejas,35885
310,player,de,Waldemar Anton,25368
311,player,ci,Alban Lafont,30393
312,player,nl,Guus Til,36905
313,player,tn,Adem Arous,393977
314,player,cv,Pico,69260
315,player,fr,Brice Samba,21628
316,player,jo,Mohammad Abu Hashish,542710
317,player,uz,Utkir Yusupov,73534
318,player,gb-eng,Trevoh Chalobah,19720
319,coach,jo,Jamal Sellami,6606
320,coach,gh,Carlos Queiroz,324
321,player,cz,Tomáš Souček,1243
322,player,cz,Vladimír Darida,25348
323,player,cz,Vladimír Coufal,1231
324,player,cz,Patrik Schick,794
325,player,cz,Adam Hložek,66019
326,player,cz,Tomáš Holeš,2252
327,player,cz,Lukáš Provod,66353
328,player,cz,Michal Sadílek,241
329,player,cz,Jan Kuchta,66340
330,player,cz,Ladislav Krejčí,66407
331,player,cz,David Zima,128772
332,player,cz,Jaroslav Zelený,1237
333,player,cz,Mojmír Chytil,66275
334,player,cz,Tomáš Chorý,818
335,player,cz,Pavel Šulc,66387
336,player,cz,Matěj Kovář,138804
337,player,cz,David Jurásek,128793
338,player,cz,Lukáš Červ,162194
339,player,cz,David Douděra,66214
340,player,cz,Robin Hranáč,162964
341,player,cz,Jindřich Staněk,66347
342,player,cz,Štěpán Chaloupek,337740
343,player,cz,Alexandr Sojka,386837
344,player,cz,Denis Višinský,290212
345,player,cz,Lukáš Horníček,269349
346,player,cz,Hugo Sochůrek,555437
347,coach,cz,Miroslav Koubek,28720
348,player,mx,Guillermo Ochoa,2098
