lat,lon,population
41.0019,44.6494,1456
40.15959,45.46786,4550
40.4751,45.05011,2032
40.18254,45.63286,2276
40.63348,44.96112,4356
40.17354,45.22201,2881
40.57788,44.87793,1049
40.18048,44.27228,1481
40.63883,44.22252,2225
40.79849,44.10144,1243
40.5325,44.72323,1127
40.91763,45.40528,1458
40.1382,45.19096,2891
41.11922,44.28649,7840
40.06952,44.07788,2142
40.39172,43.87793,4541
40.89523,45.1355,2196
41.00995,44.38531,11982
40.83131,44.27019,13574
40.66105,44.01551,1573
40.09075,44.5519,11200
40.10712,44.05108,2034
40.46252,44.70709,2002
40.05829,44.38892,1227
40.14584,44.56638,4263
41.14693,44.84043,2758
40.84042,43.91582,1038
40.48328,44.38348,1929
40.05548,43.93048,1776
40.21393,44.30011,1277
40.27654,44.09846,1170
41.01599,45.14185,2234
40.548,44.95314,19652
40.29169,45.13068,7475
40.52368,43.91248,3564
41.03531,45.14486,1276
41.196,44.38432,1201
40.6709,43.87231,1298
40.77487,44.2222,1076
40.62116,44.02041,1270
40.87043,44.21407,1538
40.18516,44.24493,2868
40.22754,44.72464,4634
40.02789,44.36951,1241
40.25681,44.58195,1915
40.16388,44.36389,2006
40.03888,44.06671,2274
40.24731,44.41949,6238
40.64026,44.04666,2068
40.35553,44.52228,1725
40.58612,43.94311,3055
40.32231,44.31141,2212
40.98248,45.36696,1523
40.16388,44.4057,7083
40.66388,43.97089,2883
40.26392,44.31671,5237
40.13206,44.00969,6539
40.3485,44.38717,2738
41.05321,44.61341,4196
41.17319,44.99851,4560
40.65832,43.93189,1606
40.09168,44.48053,8766
40.26494,44.65471,1836
40.31668,44.57785,7048
40.87683,45.45722,1289
40.65722,44.07702,1263
40.0013,44.59296,3733
40.08612,43.99451,2014
40.02228,44.42511,2291
40.19733,44.3501,3168
40.37793,45.18048,6105
40.30296,44.58314,10460
40.35553,43.9917,1114
40.14172,45.27087,9410
40.33893,44.01392,1537
40.14857,45.50874,3084
40.86695,45.34179,1129
40.0639,43.98889,4428
40.85287,44.16366,2142
40.75767,43.99274,1186
40.31198,44.36671,1202
40.18249,44.25383,1024
40.20007,44.27789,1139
40.28607,44.54449,2325
40.12283,44.06578,6004
40.02642,44.55953,1086
40.90534,45.48838,1417
40.02228,44.4917,5022
40.83472,44.11108,2015
40.21948,45.76391,2589
40.64376,44.05653,2147
41.20156,44.22877,6020
40.07246,44.2905,1443
40.1814,44.40033,3981
40.66545,44.35358,1089
40.67017,43.95652,1223
40.6068,44.64158,2393
40.24419,44.6341,2341
40.4471,43.8817,2745
40.06595,44.43669,23136
40.14028,45.30232,12034
